episode,step,state,action,reward
504,1,"[2, 10]",0,0
504,2,"[2, 9]",0,0
504,3,"[2, 8]",1,0
504,4,"[3, 8]",1,0
504,5,"[4, 8]",0,0
504,6,"[4, 7]",0,0
504,7,"[4, 6]",1,0
504,8,"[5, 6]",1,0
504,9,"[6, 6]",0,0
504,10,"[6, 5]",1,0
504,11,"[7, 5]",2,0
504,12,"[7, 6]",1,0
504,13,"[8, 6]",1,0
504,14,"[9, 6]",2,0
504,15,"[9, 7]",1,0
504,16,"[10, 7]",1,0
504,17,"[11, 7]",2,0
504,18,"[11, 8]",1,0
504,19,"[12, 8]",2,0
504,20,"[12, 9]",2,0
504,21,"[12, 10]",2,0
504,22,"[12, 11]",2,1
