,rule,predicted class,covered examples,correct predictions,wrong predictions,rule accuracy
0,"([('x_axis', 12), ('y_axis', 2)], 'Up', 0.02631578947368421, 1.0)",Up,0,0,0,-
1,"([('x_axis', 12), ('y_axis', 3)], 'Right', 0.003937007874015748, 1.0)",Right,0,0,0,-
2,"([('x_axis', 12), ('y_axis', 6)], 'Up', 0.05263157894736842, 1.0)",Up,0,0,0,-
3,"([('x_axis', 12), ('y_axis', 8)], 'Right', 0.04330708661417323, 1.0)",Right,11,11,0,1.0
4,"([('x_axis', 12), ('y_axis', 9)], 'Right', 0.03740157480314961, 1.0)",Right,15,15,0,1.0
5,"([('y_axis', 12), ('x_axis', 2)], 'Left', 0.02040816326530612, 1.0)",Left,0,0,0,-
6,"([('y_axis', 12), ('x_axis', 3)], 'Left', 0.02040816326530612, 1.0)",Left,0,0,0,-
7,"([('y_axis', 12), ('x_axis', 5)], 'Down', 0.0019646365422396855, 1.0)",Down,1,1,0,1.0
8,"([('y_axis', 12), ('x_axis', 6)], 'Down', 0.003929273084479371, 1.0)",Down,2,2,0,1.0
9,"([('y_axis', 12), ('x_axis', 7)], 'Down', 0.011787819253438114, 1.0)",Down,3,3,0,1.0
10,"([('y_axis', 12), ('x_axis', 8)], 'Down', 0.0137524557956778, 1.0)",Down,3,3,0,1.0
11,"([('y_axis', 12), ('x_axis', 9)], 'Left', 0.20408163265306123, 1.0)",Left,1,1,0,1.0
12,"([('y_axis', 12)], 'Down', 0.060903732809430254, 1.0)",Down,14,13,1,0.9285714285714286
13,"([('x_axis', 12), ('y_axis', 11)], 'Right', 0.10039370078740158, 0.9107142857142857)",Right,29,28,1,0.9655172413793104
14,"([('x_axis', 12), ('y_axis', 10)], 'Right', 0.07283464566929133, 0.8409090909090909)",Right,11,10,1,0.9090909090909091
15,"([('x_axis', 12), ('y_axis', 4)], 'Right', 0.003937007874015748, 0.6666666666666666)",Right,0,0,0,-
16,"([('x_axis', 12)], 'Right', 0.001968503937007874, 0.5)",Right,2,0,2,0.0
17,"(None, 'Down', 1.0, 0.46105072463768115)",Down,382,198,184,0.518324607329843
