pos x,pos y,vel x,vel y,angle,angleVel,contact_1,contact_2,action
-0.007577133,1.408558965,-0.767495513,-0.104969852,0.008786765,0.173849195,0,0,3
-0.015079689,1.405616879,-0.757050157,-0.130813882,0.01549127,0.134103388,0,0,3
-0.022517204,1.402088523,-0.748856366,-0.156878412,0.020541109,0.101006389,0,0,3
-0.029875183,1.397969007,-0.738869905,-0.183132708,0.023582175,0.060826916,0,0,3
-0.037144948,1.393241644,-0.727820039,-0.210122794,0.024409177,0.016541669,0,0,3
-0.04433956,1.387907743,-0.718383133,-0.23705484,0.023347177,-0.021241974,0,0,3
-0.051447392,1.381973624,-0.70750916,-0.26368311,0.020106198,-0.064825632,0,0,3
-0.05849085,1.375432253,-0.699434876,-0.290673912,0.015252444,-0.097083971,0,0,3
-0.065449715,1.368289828,-0.688833475,-0.31738022,0.008277548,-0.139510602,0,0,1
-0.072475053,1.360540867,-0.697182059,-0.344377607,0.002983142,-0.105898164,0,0,3
-0.079409122,1.352197289,-0.685728133,-0.370833337,-0.004604964,-0.15177618,0,0,1
-0.086403564,1.343248129,-0.693311989,-0.39777106,-0.010666195,-0.121235587,0,0,1
-0.093477726,1.33369112,-0.703318834,-0.424785554,-0.014719787,-0.081078991,0,0,3
-0.100478455,1.323524714,-0.694109559,-0.451914877,-0.020619212,-0.117999241,0,0,1
-0.107539274,1.312759876,-0.701645017,-0.478505224,-0.025002329,-0.087670438,0,0,3
-0.114514828,1.301394105,-0.690969825,-0.505266964,-0.031523004,-0.130425125,0,0,1
-0.121568397,1.289443493,-0.700761199,-0.531247735,-0.036068115,-0.090910554,0,0,2
-0.128666967,1.277647853,-0.704969466,-0.524372518,-0.040911291,-0.096872047,0,0,2
-0.135902688,1.266431928,-0.717882335,-0.498649538,-0.046546467,-0.11271356,0,0,2
-0.14314051,1.255528212,-0.717943788,-0.484805644,-0.052323416,-0.115549505,0,0,2
-0.150364205,1.244912028,-0.716458201,-0.472043395,-0.058180079,-0.117143437,0,0,2
-0.157428652,1.235002875,-0.70104301,-0.44062832,-0.06353309,-0.107070126,0,0,2
-0.164509103,1.225346923,-0.702393711,-0.42939949,-0.069129109,-0.111930177,0,0,2
-0.171689317,1.216385245,-0.711628258,-0.398610026,-0.075464524,-0.126719579,0,0,2
-0.178779885,1.207443237,-0.702946365,-0.397746742,-0.081530206,-0.121324621,0,0,2
-0.185877129,1.198761344,-0.703734338,-0.386197567,-0.087471306,-0.118829831,0,0,2
-0.192854121,1.190815687,-0.691526532,-0.35351488,-0.093590394,-0.122381747,0,0,2
-0.199631691,1.183793306,-0.672059357,-0.312470973,-0.0992295,-0.112782396,0,0,1
-0.206499621,1.176189899,-0.683436871,-0.338163018,-0.102564819,-0.06670621,0,0,2
-0.21321626,1.168646932,-0.66879344,-0.335439116,-0.105412491,-0.056953616,0,0,2
-0.219970942,1.161442161,-0.67211622,-0.320452213,-0.108739018,-0.066530392,0,0,2
-0.226510242,1.154526949,-0.651277304,-0.307540148,-0.111373223,-0.052684136,0,0,2
-0.232797235,1.148223639,-0.626798272,-0.280286252,-0.113263398,-0.03780371,0,0,3
-0.23901248,1.141303062,-0.617777586,-0.307868421,-0.116987646,-0.074484751,0,0,2
-0.245076418,1.134781599,-0.602984011,-0.290113002,-0.120376348,-0.067773983,0,0,2
-0.251178443,1.128641963,-0.606256366,-0.273195684,-0.124303125,-0.078535393,0,0,2
-0.257331312,1.123265028,-0.61058414,-0.239370286,-0.128983408,-0.093605578,0,0,2
-0.263321728,1.117991209,-0.594807386,-0.23476997,-0.133197367,-0.08427906,0,0,2
-0.269130319,1.112995744,-0.577105105,-0.22236158,-0.136937767,-0.07480792,0,0,2
-0.274873495,1.108013391,-0.570602536,-0.221778676,-0.14063625,-0.07396926,0,0,2
-0.280596644,1.10388124,-0.568068445,-0.184059814,-0.144869223,-0.084659532,0,0,2
-0.286125422,1.100460291,-0.548944116,-0.152437776,-0.14879632,-0.078542061,0,0,2
-0.291701019,1.097350836,-0.552998185,-0.138658702,-0.153353795,-0.091149464,0,0,2
-0.297195822,1.094866276,-0.544710517,-0.110923328,-0.158118293,-0.095289834,0,0,0
-0.302690595,1.091782093,-0.544710934,-0.137591869,-0.162882775,-0.095289685,0,0,2
-0.308110952,1.089343667,-0.536993325,-0.108937532,-0.16793026,-0.100949839,0,0,0
-0.313531309,1.086305499,-0.536993921,-0.135606289,-0.172977746,-0.10094966,0,0,2
-0.318662077,1.083967805,-0.508664966,-0.104418948,-0.177396014,-0.088365361,0,0,2
-0.323830426,1.08179903,-0.511845052,-0.096992098,-0.18240355,-0.100150719,0,0,2
-0.328756183,1.07954824,-0.488402456,-0.100553796,-0.186597899,-0.083886668,0,0,2
-0.333601326,1.077862978,-0.480041683,-0.075468279,-0.19109194,-0.089880772,0,0,2
-0.338513136,1.076222539,-0.486033261,-0.073578261,-0.196265623,-0.10347376,0,0,2
-0.343300998,1.075230956,-0.473463863,-0.044791121,-0.201627836,-0.107244253,0,0,0
-0.34808889,1.073639512,-0.473464578,-0.071460165,-0.206990033,-0.107244089,0,0,2
-0.352648914,1.072370887,-0.451128542,-0.057073586,-0.211905718,-0.098313726,0,0,2
-0.357205212,1.071516037,-0.450127661,-0.038798034,-0.217461303,-0.111111805,0,0,2
-0.361745209,1.07141161,-0.447692394,-0.005582383,-0.223841071,-0.127595276,0,0,0
-0.366285175,1.070707679,-0.447693497,-0.03225239,-0.230220795,-0.127594918,0,0,2
-0.370728433,1.069943309,-0.438090324,-0.034962188,-0.236544639,-0.126477197,0,0,2
-0.375131607,1.069473743,-0.433637291,-0.021959003,-0.243334576,-0.135798872,0,0,2
-0.379421383,1.069889069,-0.42172581,0.0172446,-0.250717998,-0.147668526,0,0,0
-0.3837111,1.069705129,-0.421727508,-0.009426518,-0.258101404,-0.147667974,0,0,2
-0.387842953,1.07031703,-0.405576706,0.025834458,-0.265877038,-0.155512452,0,0,0
-0.391974628,1.070329547,-0.405578762,-0.000837127,-0.273652613,-0.155511782,0,0,2
-0.395979702,1.071202636,-0.392294347,0.03723786,-0.282080323,-0.16855377,0,0,2
-0.399876297,1.072544694,-0.381048858,0.057958569,-0.290943444,-0.177262142,0,0,0
-0.403772742,1.073287845,-0.38105166,0.031285558,-0.299806505,-0.177261189,0,0,2
-0.407410949,1.073892951,-0.355947882,0.025243843,-0.307949454,-0.162858754,0,0,2
-0.411043942,1.074703097,-0.35474813,0.034157794,-0.316821188,-0.177435249,0,0,2
-0.414532602,1.075778961,-0.340150774,0.04588547,-0.325890154,-0.181379586,0,0,2
-0.417715877,1.077109098,-0.310106426,0.05724217,-0.334464103,-0.171479076,0,0,0
-0.420898914,1.077840209,-0.310109437,0.030569647,-0.343038023,-0.171478182,0,0,2
-0.423770338,1.078590155,-0.279654771,0.031528167,-0.350896835,-0.157176375,0,0,2
-0.426249802,1.079696298,-0.24113448,0.047477484,-0.358066827,-0.143400118,0,0,0
-0.428729117,1.080203056,-0.241136715,0.020806758,-0.365236819,-0.143399596,0,0,2
-0.431065619,1.080996871,-0.226534799,0.033450194,-0.372766495,-0.150593475,0,0,2
-0.433284432,1.08238709,-0.214000702,0.059706967,-0.381131798,-0.1673062,0,0,0
-0.435503006,1.083178163,-0.21400395,0.033034816,-0.389497072,-0.16730538,0,0,2
-0.437618345,1.084307671,-0.203093916,0.047858741,-0.398518682,-0.180432141,0,0,2
-0.439253181,1.086214542,-0.155449599,0.08246994,-0.407140285,-0.172431931,0,0,0
-0.440887749,1.087522268,-0.155453295,0.05579751,-0.415761828,-0.172431037,0,0,0
-0.442522109,1.088231087,-0.15545705,0.029125104,-0.424383342,-0.172430143,0,0,2
