,rule,predicted class,covered examples,correct predictions,wrong predictions,rule accuracy
0,"([('pos x', '(0.0332, 0.0333]')], 'No action', No action    0.001075
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,1,1,0,1.0
1,"([('pos x', '(-0.0312, -0.031]')], 'No action', No action    0.006452
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,1,1,0,1.0
2,"([('vel x', '(-0.0001, 9.7e-05]'), ('pos x', '(0.0109, 0.0324]')], 'No action', No action    0.047312
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,12,12,0,1.0
3,"([('vel x', '(-0.0001, 9.7e-05]'), ('pos x', '(-0.0069, 0.0095]')], 'Fire down engine', Fire down engine    0.000643
Name: class, dtype: float64, Fire down engine    1.0
Name: class, dtype: float64)",Fire down engine,1,0,1,0.0
4,"([('vel x', '(-0.0001, 9.7e-05]'), ('pos x', '(-0.0496, -0.0495]')], 'No action', No action    0.013978
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,6,6,0,1.0
5,"([('vel x', '(-0.0001, 9.7e-05]'), ('pos x', '(0.0095, 0.0096]')], 'No action', No action    0.015054
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,7,7,0,1.0
6,"([('vel x', '(-0.0001, 9.7e-05]'), ('pos x', '(0.0324, 0.0332]')], 'No action', No action    0.023656
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,17,16,1,0.9411764705882353
7,"([('vel x', '(-0.0001, 9.7e-05]'), ('pos x', '(0.0108, 0.0109]')], 'No action', No action    0.013978
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,6,6,0,1.0
8,"([('pos x', '(-0.1371, -0.1367]'), ('pos y', '(-7.9e-05, -2.5e-05]')], 'Fire right engine', Fire right engine    0.002618
Name: class, dtype: float64, Fire right engine    1.0
Name: class, dtype: float64)",Fire right engine,1,0,1,0.0
9,"([('pos x', '(-0.1371, -0.1367]')], 'No action', No action    0.02043
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,7,6,1,0.8571428571428571
10,"([('vel x', '(-0.0001, 9.7e-05]'), ('pos y', '(-0.0011, -0.000506]')], 'No action', No action    0.025806
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,13,13,0,1.0
11,"([('vel x', '(-0.0001, 9.7e-05]'), ('vel y', '(-1e-06, 0.0]')], 'No action', No action    0.008602
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,4,4,0,1.0
12,"([('vel y', '(0.211, 0.455]'), ('pos x', '(-0.0884, -0.0496]')], 'No action', No action    0.002151
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,2,2,0,1.0
13,"([('vel y', '(0.211, 0.455]'), ('pos x', '(-0.031, -0.0069]')], 'Fire right engine', Fire right engine    0.039267
Name: class, dtype: float64, Fire right engine    1.0
Name: class, dtype: float64)",Fire right engine,4,4,0,1.0
14,"([('vel y', '(0.211, 0.455]'), ('vel x', '(-0.652, -0.626]')], 'No action', No action    0.001075
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,0,0,0,-
15,"([('vel y', '(0.211, 0.455]')], 'Fire right engine', Fire right engine    0.02356
Name: class, dtype: float64, Fire right engine    1.0
Name: class, dtype: float64)",Fire right engine,0,0,0,-
16,"([('vel x', '(-0.626, -0.482]'), ('pos x', '(-0.1448, -0.1371]')], 'Fire down engine', Fire down engine    0.000643
Name: class, dtype: float64, Fire down engine    1.0
Name: class, dtype: float64)",Fire down engine,1,1,0,1.0
17,"([('vel x', '(-0.626, -0.482]'), ('pos x', '(-0.526, -0.3794]')], 'Fire down engine', Fire down engine    0.001286
Name: class, dtype: float64, Fire down engine    1.0
Name: class, dtype: float64)",Fire down engine,1,1,0,1.0
18,"([('vel x', '(-0.626, -0.482]'), ('pos y', '(1.338, 1.378]')], 'Fire down engine', Fire down engine    0.001929
Name: class, dtype: float64, Fire down engine    1.0
Name: class, dtype: float64)",Fire down engine,4,4,0,1.0
19,"([('pos x', '(0.0108, 0.0109]'), ('pos y', '(-0.000504, -7.9e-05]')], 'No action', No action    0.006452
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,1,1,0,1.0
20,"([('vel x', '(-0.626, -0.482]'), ('pos y', '(1.433, 1.504]')], 'Fire left engine', Fire left engine    0.003937
Name: class, dtype: float64, Fire left engine    1.0
Name: class, dtype: float64)",Fire left engine,3,3,0,1.0
21,"([('vel x', '(-0.626, -0.482]'), ('pos y', '(1.378, 1.433]')], 'Fire down engine', Fire down engine    0.001929
Name: class, dtype: float64, Fire down engine    1.0
Name: class, dtype: float64)",Fire down engine,3,3,0,1.0
22,"([('vel x', '(-0.626, -0.482]'), ('angle', '(-0.0056, 0.0003]')], 'Fire right engine', Fire right engine    0.002618
Name: class, dtype: float64, Fire right engine    1.0
Name: class, dtype: float64)",Fire right engine,0,0,0,-
23,"([('vel x', '(-0.626, -0.482]'), ('pos x', '(-0.0884, -0.0496]')], 'Fire down engine', Fire down engine    0.001929
Name: class, dtype: float64, Fire down engine    1.0
Name: class, dtype: float64)",Fire down engine,2,2,0,1.0
24,"([('vel x', '(-0.626, -0.482]'), ('angleVel', '(-0.303, -0.167]')], 'Fire down engine', Fire down engine    0.022508
Name: class, dtype: float64, Fire down engine    1.0
Name: class, dtype: float64)",Fire down engine,14,14,0,1.0
25,"([('vel y', '(-1e-06, 0.0]'), ('pos x', '(0.0109, 0.0324]')], 'No action', No action    0.003226
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,3,3,0,1.0
26,"([('vel y', '(-1e-06, 0.0]'), ('pos x', '(-0.0496, -0.0495]')], 'No action', No action    0.002151
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,0,0,0,-
27,"([('vel y', '(-1e-06, 0.0]'), ('pos x', '(0.0095, 0.0096]')], 'No action', No action    0.001075
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,1,1,0,1.0
28,"([('vel y', '(-1e-06, 0.0]'), ('pos x', '(0.0096, 0.0108]')], 'Fire right engine', Fire right engine    0.007853
Name: class, dtype: float64, Fire right engine    1.0
Name: class, dtype: float64)",Fire right engine,2,1,1,0.5
29,"([('vel y', '(-1e-06, 0.0]'), ('pos x', '(0.0324, 0.0332]')], 'No action', No action    0.004301
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,0,0,0,-
30,"([('vel y', '(-1e-06, 0.0]'), ('pos x', '(-0.1448, -0.1371]')], 'No action', No action    0.002151
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,2,1,1,0.5
31,"([('vel y', '(-1e-06, 0.0]'), ('pos y', '(-0.0011, -0.000506]')], 'No action', No action    0.004301
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,0,0,0,-
32,"([('vel y', '(-1e-06, 0.0]'), ('vel x', '(9.7e-05, 0.0057]')], 'No action', No action    0.001075
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,1,0,1,0.0
33,"([('vel y', '(0.0, 0.0004]'), ('pos x', '(-0.0496, -0.0495]')], 'No action', No action    0.002151
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,0,0,0,-
34,"([('vel y', '(0.0771, 0.211]'), ('pos x', '(0.0109, 0.0324]')], 'Fire right engine', Fire right engine    0.002618
Name: class, dtype: float64, Fire right engine    1.0
Name: class, dtype: float64)",Fire right engine,0,0,0,-
35,"([('vel y', '(0.0771, 0.211]'), ('pos x', '(-0.1367, -0.0884]')], 'No action', No action    0.003226
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,0,0,0,-
36,"([('vel y', '(0.0771, 0.211]'), ('pos x', '(-0.3794, -0.1448]')], 'No action', No action    0.004301
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,0,0,0,-
37,"([('vel y', '(-1e-06, 0.0]'), ('vel x', '(0.0057, 0.178]')], 'No action', No action    0.005376
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,2,2,0,1.0
38,"([('vel y', '(0.0, 0.0004]'), ('pos x', '(-0.1367, -0.0884]')], 'No action', No action    0.001075
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,0,0,0,-
39,"([('vel y', '(0.0, 0.0004]'), ('pos x', '(0.0108, 0.0109]')], 'No action', No action    0.001075
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,0,0,0,-
40,"([('vel y', '(0.0, 0.0004]'), ('pos y', '(0.0649, 0.173]')], 'Fire right engine', Fire right engine    0.002618
Name: class, dtype: float64, Fire right engine    1.0
Name: class, dtype: float64)",Fire right engine,0,0,0,-
41,"([('vel y', '(0.0, 0.0004]'), ('vel x', '(0.0057, 0.178]')], 'No action', No action    0.011828
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,7,7,0,1.0
42,"([('vel y', '(0.0, 0.0004]'), ('angleVel', '(-0.0796, -0.0003]')], 'No action', No action    0.005376
Name: class, dtype: float64, No action    1.0
Name: class, dtype: float64)",No action,4,3,1,0.75
