,0,1,2,3
0,"[('vel y', '(0.341, 0.455]')]",Fire right engine,"Fire right engine    0.013736
         ","Fire right engine    1.0
         "
1,"[('vel y', '(0.227, 0.341]'), ('pos x', '(-0.118, -0.06]')]",No action,"No action    0.001068
         ","No action    1.0
         "
2,"[('vel y', '(0.227, 0.341]'), ('angleVel', '(0.0286, 0.095]')]",Fire right engine,"Fire right engine    0.019231
         ","Fire right engine    1.0
         "
3,"[('vel y', '(0.227, 0.341]'), ('angleVel', '(0.161, 0.228]')]",Fire right engine,"Fire right engine    0.002747
         ","Fire right engine    1.0
         "
4,"[('vel y', '(0.227, 0.341]'), ('angleVel', '(0.095, 0.161]')]",Fire right engine,"Fire right engine    0.008242
         ","Fire right engine    1.0
         "
5,"[('vel x', '(-0.544, -0.413]'), ('pos x', '(-0.293, -0.235]')]",Fire down engine,"Fire down engine    0.021601
         ","Fire down engine    1.0
         "
6,"[('vel x', '(-0.413, -0.281]'), ('pos x', '(-0.293, -0.235]')]",Fire down engine,"Fire down engine    0.001906
         ","Fire down engine    1.0
         "
7,"[('vel y', '(0.113, 0.227]'), ('pos x', '(-0.118, -0.06]')]",No action,"No action    0.009615
         ","No action    1.0
         "
8,"[('vel y', '(-0.686, -0.571]'), ('pos x', '(-0.235, -0.176]')]",Fire down engine,"Fire down engine    0.005083
         ","Fire down engine    1.0
         "
9,"[('contact_2', '(0.5, 1.0]'), ('vel x', '(0.113, 0.245]')]",Fire left engine,"Fire left engine    0.003984
         ","Fire left engine    1.0
         "
10,"[('contact_2', '(0.5, 1.0]'), ('vel x', '(-0.281, -0.15]')]",Fire right engine,"Fire right engine    0.010989
         ","Fire right engine    1.0
         "
11,"[('contact_2', '(0.5, 1.0]'), ('angleVel', '(0.0286, 0.095]')]",No action,"No action    0.001068
         ","No action    1.0
         "
12,"[('contact_2', '(0.5, 1.0]'), ('angleVel', '(0.095, 0.161]')]",Fire right engine,"Fire right engine    0.002747
         ","Fire right engine    1.0
         "
13,"[('contact_2', '(0.5, 1.0]'), ('angleVel', '(-0.237, -0.171]')]",Fire down engine,"Fire down engine    0.001906
         ","Fire down engine    1.0
         "
14,"[('contact_2', '(0.5, 1.0]'), ('angle', '(-0.0912, -0.00624]')]",Fire right engine,"Fire right engine    0.002747
         ","Fire right engine    1.0
         "
15,"[('contact_1', '(0.5, 1.0]'), ('angleVel', '(0.228, 0.294]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
16,"[('contact_1', '(0.5, 1.0]'), ('angleVel', '(0.161, 0.228]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
17,"[('vel y', '(0.113, 0.227]'), ('angleVel', '(0.0286, 0.095]')]",Fire right engine,"Fire right engine    0.008242
         ","Fire right engine    1.0
         "
18,"[('vel y', '(0.113, 0.227]'), ('angleVel', '(-0.104, -0.0378]')]",No action,"No action    0.003205
         ","No action    1.0
         "
19,"[('vel y', '(-0.686, -0.571]'), ('pos y', '(0.597, 0.748]')]",Fire down engine,"Fire down engine    0.001271
         ","Fire down engine    1.0
         "
20,"[('vel y', '(-0.686, -0.571]'), ('pos y', '(1.353, 1.504]')]",Fire right engine,"Fire right engine    0.005495
         ","Fire right engine    1.0
         "
21,"[('vel y', '(-0.686, -0.571]'), ('angleVel', '(0.228, 0.294]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
22,"[('vel y', '(-0.686, -0.571]'), ('angleVel', '(-0.171, -0.104]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
23,"[('vel y', '(-0.686, -0.571]'), ('angleVel', '(-0.104, -0.0378]')]",Fire down engine,"Fire down engine    0.002541
         ","Fire down engine    1.0
         "
24,"[('vel y', '(-0.686, -0.571]'), ('pos x', '(-0.118, -0.06]')]",Fire right engine,"Fire right engine    0.002747
         ","Fire right engine    1.0
         "
25,"[('vel y', '(-0.686, -0.571]'), ('angleVel', '(0.095, 0.161]'), ('pos y', '(0.748, 0.899]')]",Fire down engine,"Fire down engine    0.008259
         ","Fire down engine    1.0
         "
26,"[('vel y', '(-0.686, -0.571]'), ('angle', '(-0.0912, -0.00624]')]",Fire left engine,"Fire left engine    0.003984
         ","Fire left engine    1.0
         "
27,"[('contact_2', '(0.5, 1.0]'), ('vel x', '(-0.15, -0.0182]'), ('angleVel', '(-0.0378, 0.0286]')]",Fire right engine,"Fire right engine    0.027473
         ","Fire right engine    1.0
         "
28,"[('contact_2', '(0.5, 1.0]'), ('pos x', '(-0.06, -0.00173]'), ('vel y', '(-0.115, -0.000902]')]",Fire left engine,"Fire left engine    0.003984
         ","Fire left engine    1.0
         "
29,"[('contact_1', '(0.5, 1.0]'), ('angleVel', '(0.095, 0.161]'), ('pos x', '(-0.00173, 0.0565]')]",Fire down engine,"Fire down engine    0.001906
         ","Fire down engine    1.0
         "
30,"[('contact_2', '(0.5, 1.0]'), ('angleVel', '(-0.0378, 0.0286]'), ('contact_1', '(-0.001, 0.5]')]",Fire left engine,"Fire left engine    0.003984
         ","Fire left engine    1.0
         "
31,"[('contact_2', '(0.5, 1.0]'), ('angleVel', '(-0.0378, 0.0286]'), ('vel y', '(-0.115, -0.000902]')]",No action,"No action    0.001068
         ","No action    1.0
         "
32,"[('contact_2', '(0.5, 1.0]'), ('pos x', '(-0.06, -0.00173]'), ('vel x', '(-0.0182, 0.113]'), ('angleVel', '(-0.104, -0.0378]')]",No action,"No action    0.002137
         ","No action    1.0
         "
33,"[('contact_1', '(0.5, 1.0]'), ('angleVel', '(-0.104, -0.0378]')]",Fire right engine,"Fire right engine    0.008242
         ","Fire right engine    1.0
         "
34,"[('contact_2', '(0.5, 1.0]'), ('pos x', '(-0.06, -0.00173]'), ('vel x', '(-0.0182, 0.113]')]",No action,"No action            0.088675
Fire right engine    0.006410
Fire left engine     0.003205
         ","No action            0.902174
Fire right engine    0.065217
Fire left engine     0.032609
         "
35,"[('vel y', '(-0.686, -0.571]'), ('angleVel', '(0.095, 0.161]'), ('pos x', '(-0.351, -0.293]'), ('pos y', '(0.899, 1.051]')]",Fire down engine,"Fire down engine    0.002541
         ","Fire down engine    1.0
         "
36,"[('contact_2', '(0.5, 1.0]'), ('angleVel', '(-0.0378, 0.0286]'), ('pos x', '(-0.00173, 0.0565]')]",No action,"No action            0.178419
Fire right engine    0.035256
         ","No action            0.835
Fire right engine    0.165
         "
37,"[('vel x', '(0.376, 0.508]'), ('pos x', '(-0.118, -0.06]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
38,"[('vel x', '(0.376, 0.508]'), ('pos y', '(0.748, 0.899]')]",No action,"No action    0.001068
         ","No action    1.0
         "
39,"[('vel y', '(-0.571, -0.457]'), ('pos y', '(0.295, 0.446]')]",Fire down engine,"Fire down engine    0.001271
         ","Fire down engine    1.0
         "
40,"[('vel y', '(-0.571, -0.457]'), ('vel x', '(-0.0182, 0.113]')]",Fire right engine,"Fire right engine    0.002747
         ","Fire right engine    1.0
         "
41,"[('vel y', '(-0.571, -0.457]'), ('angleVel', '(-0.237, -0.171]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
42,"[('vel y', '(-0.571, -0.457]'), ('pos x', '(-0.176, -0.118]'), ('pos y', '(0.446, 0.597]')]",Fire down engine,"Fire down engine    0.003812
         ","Fire down engine    1.0
         "
43,"[('vel x', '(0.376, 0.508]'), ('pos x', '(-0.176, -0.118]'), ('pos y', '(0.446, 0.597]')]",Fire down engine,"Fire down engine    0.001906
         ","Fire down engine    1.0
         "
44,"[('vel y', '(-0.686, -0.571]'), ('pos x', '(-0.293, -0.235]'), ('angleVel', '(0.0286, 0.095]')]",Fire left engine,"Fire left engine    0.003984
         ","Fire left engine    1.0
         "
45,"[('vel y', '(-0.686, -0.571]'), ('pos y', '(0.748, 0.899]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
46,"[('vel y', '(-0.686, -0.571]'), ('pos y', '(1.051, 1.202]'), ('angleVel', '(0.161, 0.228]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
47,"[('contact_2', '(0.5, 1.0]'), ('vel x', '(-0.15, -0.0182]'), ('pos x', '(-0.00173, 0.0565]')]",No action,"No action    0.002137
         ","No action    1.0
         "
48,"[('vel y', '(-0.571, -0.457]'), ('pos x', '(-0.176, -0.118]'), ('pos y', '(1.202, 1.353]')]",Fire down engine,"Fire down engine    0.003177
         ","Fire down engine    1.0
         "
49,"[('contact_1', '(0.5, 1.0]'), ('vel y', '(-0.115, -0.000902]'), ('pos x', '(-0.06, -0.00173]')]",Fire down engine,"Fire down engine    0.001271
         ","Fire down engine    1.0
         "
50,"[('contact_1', '(0.5, 1.0]'), ('vel x', '(-0.281, -0.15]')]",Fire right engine,"Fire right engine    0.002747
         ","Fire right engine    1.0
         "
51,"[('contact_1', '(0.5, 1.0]'), ('angle', '(-0.0912, -0.00624]')]",Fire left engine,"Fire left engine    0.003984
         ","Fire left engine    1.0
         "
52,"[('contact_1', '(0.5, 1.0]'), ('vel y', '(-0.115, -0.000902]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
53,"[('contact_1', '(0.5, 1.0]'), ('angleVel', '(0.0286, 0.095]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
54,"[('vel x', '(0.376, 0.508]'), ('pos x', '(-0.176, -0.118]'), ('pos y', '(0.597, 0.748]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
55,"[('vel y', '(-0.686, -0.571]'), ('angle', '(-0.261, -0.176]'), ('vel x', '(0.245, 0.376]')]",Fire down engine,"Fire down engine    0.002541
         ","Fire down engine    1.0
         "
56,"[('vel y', '(-0.686, -0.571]'), ('pos x', '(-0.293, -0.235]'), ('vel x', '(0.245, 0.376]'), ('angleVel', '(0.161, 0.228]')]",Fire down engine,"Fire down engine    0.001271
         ","Fire down engine    1.0
         "
57,"[('vel x', '(0.376, 0.508]'), ('pos x', '(-0.176, -0.118]'), ('vel y', '(-0.457, -0.343]')]",Fire down engine,"Fire down engine    0.002541
         ","Fire down engine    1.0
         "
58,"[('vel y', '(0.227, 0.341]'), ('vel x', '(-0.809, -0.676]')]",Fire right engine,"Fire right engine    0.008242
No action            0.002747
         ","Fire right engine    0.75
No action            0.25
         "
59,"[('vel y', '(-0.686, -0.571]'), ('angleVel', '(0.095, 0.161]'), ('pos x', '(-0.293, -0.235]')]",Fire down engine,"Fire down engine    0.003177
Fire left engine    0.001271
         ","Fire down engine    0.714286
Fire left engine    0.285714
         "
60,"[('contact_2', '(0.5, 1.0]'), ('angleVel', '(-0.104, -0.0378]')]",Fire left engine,"Fire left engine    0.007968
         ","Fire left engine    1.0
         "
61,"[('contact_2', '(0.5, 1.0]'), ('pos x', '(-0.176, -0.118]'), ('vel y', '(-0.115, -0.000902]')]",No action,"No action    0.001068
         ","No action    1.0
         "
62,"[('contact_1', '(0.5, 1.0]'), ('pos x', '(-0.176, -0.118]')]",No action,"No action            0.049145
Fire right engine    0.020299
         ","No action            0.707692
Fire right engine    0.292308
         "
63,"[('angle', '(-0.602, -0.516]'), ('vel x', '(-0.281, -0.15]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
64,"[('angle', '(-0.602, -0.516]'), ('angleVel', '(-0.0378, 0.0286]')]",Fire left engine,"Fire left engine    0.011952
         ","Fire left engine    1.0
         "
65,"[('vel y', '(-0.571, -0.457]'), ('pos x', '(-0.176, -0.118]'), ('pos y', '(1.051, 1.202]')]",Fire down engine,"Fire down engine    0.004447
         ","Fire down engine    1.0
         "
66,"[('vel y', '(-0.571, -0.457]'), ('angleVel', '(-0.104, -0.0378]'), ('pos x', '(-0.06, -0.00173]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
67,"[('vel y', '(-0.571, -0.457]'), ('pos x', '(-0.06, -0.00173]')]",Fire right engine,"Fire right engine    0.010989
         ","Fire right engine    1.0
         "
68,"[('angle', '(-0.602, -0.516]'), ('angleVel', '(-0.104, -0.0378]')]",Fire left engine,"Fire left engine    0.007968
         ","Fire left engine    1.0
         "
69,"[('angle', '(-0.602, -0.516]'), ('vel y', '(-0.115, -0.000902]'), ('vel x', '(-0.0182, 0.113]')]",Fire left engine,"Fire left engine    0.023904
         ","Fire left engine    1.0
         "
70,"[('angle', '(-0.516, -0.431]'), ('vel y', '(-0.457, -0.343]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
71,"[('angle', '(-0.516, -0.431]'), ('angleVel', '(0.294, 0.361]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
72,"[('angle', '(-0.516, -0.431]'), ('angleVel', '(-0.104, -0.0378]'), ('pos x', '(-0.293, -0.235]')]",Fire left engine,"Fire left engine    0.007968
         ","Fire left engine    1.0
         "
73,"[('angle', '(-0.516, -0.431]'), ('angleVel', '(-0.104, -0.0378]'), ('pos x', '(-0.468, -0.409]')]",Fire left engine,"Fire left engine    0.011952
         ","Fire left engine    1.0
         "
74,"[('vel x', '(0.376, 0.508]'), ('pos y', '(0.143, 0.295]'), ('angle', '(-0.00624, 0.0788]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
75,"[('vel x', '(0.376, 0.508]'), ('pos x', '(-0.176, -0.118]'), ('pos y', '(0.295, 0.446]')]",Fire right engine,"Fire right engine    0.002747
         ","Fire right engine    1.0
         "
76,"[('vel x', '(0.376, 0.508]'), ('angleVel', '(0.161, 0.228]'), ('angle', '(-0.00624, 0.0788]')]",Fire right engine,"Fire right engine    0.002747
         ","Fire right engine    1.0
         "
77,"[('vel x', '(0.376, 0.508]'), ('angleVel', '(0.161, 0.228]'), ('pos x', '(-0.235, -0.176]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
78,"[('vel x', '(0.376, 0.508]'), ('angleVel', '(0.161, 0.228]'), ('vel y', '(-0.571, -0.457]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
79,"[('vel y', '(-0.686, -0.571]'), ('vel x', '(0.113, 0.245]'), ('angleVel', '(-0.0378, 0.0286]')]",Fire left engine,"Fire left engine    0.003984
         ","Fire left engine    1.0
         "
80,"[('angle', '(-0.516, -0.431]'), ('pos x', '(-0.527, -0.468]'), ('vel x', '(-0.15, -0.0182]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
81,"[('angle', '(-0.516, -0.431]'), ('pos x', '(-0.527, -0.468]'), ('vel y', '(-0.000902, 0.113]')]",Fire left engine,"Fire left engine    0.007968
         ","Fire left engine    1.0
         "
82,"[('angle', '(-0.516, -0.431]'), ('angleVel', '(-0.104, -0.0378]'), ('pos x', '(-0.409, -0.351]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
83,"[('angle', '(-0.516, -0.431]'), ('angleVel', '(0.0286, 0.095]'), ('pos x', '(-0.293, -0.235]')]",Fire down engine,"Fire down engine    0.001271
         ","Fire down engine    1.0
         "
84,"[('vel x', '(0.376, 0.508]'), ('angleVel', '(0.095, 0.161]'), ('pos x', '(-0.176, -0.118]')]",Fire right engine,"Fire right engine    0.002747
         ","Fire right engine    1.0
         "
85,"[('vel y', '(-0.686, -0.571]'), ('vel x', '(0.113, 0.245]'), ('pos x', '(-0.351, -0.293]'), ('angleVel', '(0.161, 0.228]')]",Fire down engine,"Fire down engine    0.000635
         ","Fire down engine    1.0
         "
86,"[('vel x', '(0.376, 0.508]'), ('pos x', '(-0.176, -0.118]')]",Fire down engine,"Fire down engine     0.001271
Fire right engine    0.000635
         ","Fire down engine     0.666667
Fire right engine    0.333333
         "
87,"[('vel y', '(-0.686, -0.571]'), ('pos y', '(1.051, 1.202]')]",Fire down engine,"Fire down engine    0.001271
Fire left engine    0.000635
         ","Fire down engine    0.666667
Fire left engine    0.333333
         "
