,rule,type,coef,support,importance
0,pos x,linear,-0.6738212843004286,1.0,0.10350884196510954
2,vel x,linear,-0.37906025839548474,1.0,0.11058598675512628
4,angle,linear,0.5901967832373376,1.0,0.09377820930480568
79,pos x <= 0,rule,0.02166218962635082,0.87168,0.007244827836146972
67,vel x > 0 and vel y > 0,rule,-0.1053563246890035,0.82784,0.03977406164898843
92,pos y > 0 and vel x > 0,rule,0.0036791757052045053,0.82592,0.0013950634457401973
99,pos x > 0 and vel y <= 0,rule,0.03967312154551165,0.8208,0.015215423658297457
87,vel y <= 0,rule,0.0919260610326932,0.7888,0.03752053818827961
81,vel y <= 0 and vel y > 0,rule,0.020460623242051477,0.72256,0.009160946656471134
62,vel x > 0,rule,0.007084958235651101,0.70592,0.0032281059668926113
101,vel y <= 0,rule,7.059123678102407e-06,0.65472,3.3563273064895437e-06
65,vel y > 0,rule,0.00706451401260927,0.62272,0.0034242115650115657
64,pos y > 0 and vel y > 0,rule,-0.10018134421944687,0.60768,0.04891528074628466
69,vel y <= 0 and vel y > 0,rule,-0.04017124401433064,0.59456,0.019723156539870713
86,vel x > 0 and vel y <= 0,rule,-0.08479770872879773,0.5936,0.0416493198272748
111,pos y > 0,rule,-0.07474955880964762,0.568,0.037027524242756744
75,pos x > 0 and vel y <= 0 and angleVel <= 0,rule,-0.08204381543705697,0.56512,0.040672503507695974
103,vel y <= 0,rule,0.0014110947038171728,0.544,0.000702810163065232
72,vel x > 0 and vel y <= 0,rule,-0.1852872278627596,0.5184,0.09258086183496714
47,vel x > 0 and vel y > 0,rule,-0.08973891728160002,0.51424,0.04485125790707725
63,vel y > 0,rule,-0.006861029329294734,0.50816,0.003430057788469458
95,vel y <= 0,rule,0.02330657478888731,0.49184,0.011651735408830615
113,angleVel > 0,rule,0.026642093839557818,0.48,0.013310385816094469
116,angleVel > 0,rule,0.017214388906483982,0.4768,0.008597923988133254
109,pos x > 0 and vel y <= 0,rule,0.019643123786173652,0.47648,0.009810689487741185
120,pos x > 0 and pos y > 0 and vel y <= 0,rule,-0.04371378518861953,0.45984,0.021786275805636336
77,pos y > 0 and angleVel > 0,rule,0.03327755753687974,0.4576,0.01657884576705027
53,vel y > 0,rule,-0.12537794536239852,0.456,0.06244576922198401
107,vel x > 0 and vel y <= 0,rule,-0.0714287596709643,0.44448,0.03549351989228428
93,vel y <= 0,rule,0.15172332532280436,0.44064,0.07532515173210348
105,vel y <= 0,rule,0.0750784671545788,0.43264,0.037197014940193944
59,pos y <= 0,rule,0.033759712868976624,0.432,0.01672302293941033
83,pos x > 0 and vel x > 0.0 and vel y <= 0 and angleVel <= 0,rule,-0.18729100725188133,0.42592,0.09261197603277735
108,vel y <= 0,rule,0.017740309870888624,0.42592,0.008772258618734494
45,pos y <= 0,rule,0.027430701838361344,0.42432,0.013557332316332852
70,pos x > 0 and vel x > 0 and vel y <= 0 and vel y > 0,rule,-0.015052148439357923,0.41344,0.007412436060414506
90,vel y <= 0 and angleVel > 0,rule,-0.014332571434811843,0.39744,0.007013907777648985
58,vel x > 0.0043 and vel y > 0,rule,0.000529657771606153,0.3904,0.00025838823340312595
112,vel y <= 0,rule,-0.0114387851659709,0.37728,0.005544446565622047
46,vel y > 0,rule,-0.12573937012106673,0.34528,0.05978397612542996
50,angleVel <= 0 and angleVel > 0,rule,-0.011149153546897153,0.34368,0.005295132669447295
115,pos x > 0 and vel y <= 0 and angleVel > 0,rule,0.05578474309710273,0.32608,0.026150602008142322
88,vel x <= 0 and vel y <= 0 and angleVel <= 0,rule,0.010302895738775486,0.32288,0.004817399886641837
121,vel x <= 0 and vel y <= 0,rule,0.06934389803199849,0.3216,0.0323898689377786
43,vel x > 0 and vel y > 0,rule,-0.09545605988775338,0.31488,0.04433629165415979
91,vel x > 0 and vel y <= 0,rule,0.10679925211245365,0.30784,0.04929853181360412
76,pos x <= 0 and vel x <= 0 and vel y > 0 and angleVel <= 0,rule,0.11804676095304556,0.30624,0.054411370037585866
104,vel x > 0 and angleVel > 0,rule,-0.051301784352377124,0.29536,0.023404100638948794
100,vel x <= 0,rule,-0.07886403267138117,0.29408,0.035932668333690417
49,vel y > 0,rule,-0.04766952762223588,0.29152,0.021664008799950587
96,vel x <= 0 and vel y > 0,rule,-0.11693928449591201,0.29056,0.053092867442545384
56,vel y > 0,rule,-0.020805910658796067,0.28928,0.00943398545031795
125,vel x <= 0 and vel y <= 0,rule,0.11694878455022979,0.28544,0.052816847967895195
60,vel x > 0 and vel y <= 0 and vel y > 0,rule,0.1202379034482545,0.27616,0.0537579961008394
122,vel x <= 0 and vel y <= 0,rule,0.024121599727104794,0.26464,0.010641034513324493
94,vel x <= 0 and vel y > 0,rule,-0.136655308149849,0.25472,0.05954122454699708
66,pos x > 0 and vel x > 0 and vel y <= 0 and angleVel <= 0,rule,-0.11732623147721678,0.25056,0.05084162535524941
106,vel x <= 0 and vel y > 0,rule,0.17440571234493185,0.24704,0.0752194749190882
