,rule,type,coef,support,importance
3,angle,linear,0.40543967172529005,1.0,0.06442157510071737
4,angleVel,linear,0.5430294749493905,1.0,0.05409745370093041
99,angleVel <= 0,rule,-0.007914993045443647,0.73632,0.0034875659678434345
110,vel y > 0.0,rule,0.0651097221981144,0.71424,0.029414985948073315
104,pos y > 0 and vel y > 0,rule,0.010750135910581576,0.68576,0.004990347202898606
127,vel y <= 0,rule,-0.14748569434700864,0.63616,0.0709558648491506
116,vel y <= 0,rule,-0.039433267072537456,0.60704,0.019259525685407994
111,vel x > 0 and vel y <= 0,rule,-0.008101807486461882,0.6,0.003969058867218468
133,pos y > 0 and vel x > 0,rule,-0.11151032892405045,0.54784,0.055499367829189336
143,vel y <= -0.11639,rule,0.02987350541160587,0.49664,0.014936415442068626
117,vel y <= 0,rule,0.05055820173581918,0.4912,0.02527518533752501
107,pos y > 0 and vel x > 0 and vel y > 0,rule,-0.034208161474350865,0.46592,0.017064303538313244
94,pos y <= 1 and vel x > 0.0 and vel y > 0,rule,-0.06576005963128671,0.45696,0.032757986647367156
135,vel y <= 0 and angleVel <= 0,rule,-0.056353393583927,0.45632,0.02806897183630169
134,vel x > 0 and vel y <= 0,rule,-0.009557587212715685,0.44448,0.004749241249875203
119,vel x > 0 and vel y <= 0 and angleVel > 0.0002,rule,-0.028160615568298346,0.42016,0.013899640951879186
126,vel x > 0.08044 and vel y <= 0,rule,-0.04888570479674297,0.41152,0.024057096380594195
103,vel x > 0 and vel y <= 0 and vel y > 0,rule,-0.008524300438670062,0.41056,0.004193405567322419
115,pos y > 0 and vel x <= 0 and vel x > 0 and vel y <= -0.06144,rule,-0.037432864595189574,0.40096,0.018345582225272182
149,vel y <= -0.22133,rule,0.08825589928805885,0.36544,0.04249992189794819
95,vel x > 0 and vel y <= 0 and angleVel <= 0,rule,-0.0540290529943933,0.34848,0.025744245037194823
87,vel x > 0 and vel y > 0 and angle <= 0.0,rule,-0.0011569829538846457,0.34624,0.0005504587156083745
139,vel y <= 0,rule,0.14522011049732614,0.32704,0.0681274016479936
84,vel x > 0 and angleVel <= 0,rule,-0.10090692792731228,0.32608,0.04730284241872746
79,vel x <= 0 and vel x > 0 and vel y > 0,rule,-0.2000494975226985,0.31808,0.09316919867494887
91,pos y <= 1 and pos y > 0.0075 and vel y <= 0 and vel y > 0 and angle <= 0.0,rule,0.010695680066401104,0.31488,0.004967801849575202
152,vel x <= 0 and vel y <= 0,rule,0.19035072139814632,0.28544,0.0859669055247596
