,rule,type,coef,support,importance
1,vel x,linear,-0.3701720114967015,1.0,0.10799295429641985
4,angleVel,linear,0.5075913180040813,1.0,0.050567048551608006
3,angle,linear,0.5040523056368272,1.0,0.0800904443418015
100,vel y > 0,rule,-0.00027412557078386907,0.84416,9.942632871010699e-05
98,vel x > 0,rule,-0.07229934938066569,0.78816,0.029542385982925776
124,pos y > 0 and vel x > 0,rule,-0.025864976798491663,0.69888,0.011865422313698068
125,vel x > 0 and vel y <= 0 and vel y > 0 and angleVel <= 0,rule,-0.014294029778837382,0.6192,0.006940945370121444
113,vel y <= 0 and angleVel <= 0,rule,-0.12801699317393753,0.59424,0.06286127411686535
107,vel y <= -2e-05 and vel y > 0,rule,0.05994434594183769,0.56992,0.02967766979137855
130,pos y > 0 and vel x > 0,rule,-0.18340982735898922,0.54784,0.09128418479527264
115,pos y > 0 and vel x > 0,rule,-0.006921901986054613,0.54432,0.003447327748822815
94,pos y <= 1 and vel x > 0 and vel y > 0,rule,-0.13298715989596963,0.48288,0.06645459072527325
117,pos y <= 1 and vel x > 0 and vel y <= -0.02063,rule,0.022950559876232523,0.47744,0.01146359321701612
122,vel x > 0 and vel y <= 0 and angleVel > 0.0002,rule,-0.05628033615370383,0.42016,0.02777909677756447
112,vel y <= 0 and vel y > 0,rule,-0.0017151797577503367,0.39712,0.000839239586031175
85,vel y > 0 and angleVel <= 0,rule,-0.25944011596881145,0.3952,0.1268386143709863
110,vel y <= 0 and angleVel <= 0,rule,-0.016762114229889408,0.39424,0.008191424545728328
120,vel x > 0 and vel y <= 0 and angleVel > 0,rule,0.037917296049989474,0.392,0.018511098109752426
155,vel y <= -0.22133,rule,0.13879444523814738,0.36544,0.06683692682386412
95,vel y <= 0.0 and vel y > 0 and angleVel > 0,rule,0.03740564180622552,0.344,0.01776921539163656
140,vel y <= 0,rule,0.04080119788096918,0.32704,0.01914114778068037
147,vel x <= 0 and vel y <= 0,rule,-0.10401120696777197,0.29376,0.04737537073483413
145,pos y > 0 and vel x <= 0 and vel x > 0 and vel y <= 0 and vel y > 0,rule,0.09110891791654878,0.27104,0.040497613568580254
78,vel y > 0 and angleVel <= 0 and angleVel > 0,rule,-0.03212764320488183,0.27008,0.014264702295210763
82,pos y <= 0,rule,0.031137857917374355,0.26592,0.013757386217819944
135,vel x > 0 and vel y <= 0 and angleVel > 0,rule,-0.04143006086178325,0.2624,0.018226695603372704
142,vel x > 0 and vel y <= 0 and angleVel > 0,rule,0.21488407897118653,0.26208,0.09449869693142877
133,pos y <= 1 and vel x <= 0 and vel y <= 0,rule,-0.05269699380812942,0.25984,0.023110090710880694
151,pos y <= 1 and vel x <= 0 and vel y <= 0,rule,0.09580571367183557,0.25184,0.04158636952473464
102,pos y <= 0 and vel x > 0 and vel y <= 0 and vel y > 0 and angleVel <= 0,rule,0.026661356676671657,0.25152,0.011568008716176643
109,vel x > 0.2058 and angleVel <= 0,rule,-0.17606324412637755,0.24704,0.07593435213604233
159,vel y <= 0,rule,0.0921041624751418,0.24544,0.0396368212773267
76,vel y > 0 and angleVel <= 0,rule,-0.15856339704445352,0.24544,0.06823740492155342
132,vel x <= 0 and vel y <= 0 and vel y > 0,rule,0.10051046867820661,0.24064,0.04296542042676912
93,pos y <= 0 and vel y <= 0 and angleVel <= 0,rule,-0.026520241186957106,0.24032,0.011331509665168993
84,pos y <= 1 and pos y > 0.024 and vel y <= 0 and vel y > 0 and angle <= 0 and angleVel > 0,rule,-0.12851451686294715,0.23936,0.054836225791737345
80,vel x <= 0 and vel y > 0 and angle > 0 and angleVel <= 0,rule,-0.013672761961395542,0.22944,0.005749023056334924
116,vel x <= 0 and angleVel <= 0,rule,-0.028027480130233567,0.22528,0.0117089447291786
