,rule,type,coef,support,importance
1,vel x,linear,-0.06321339014598867,1.0,0.018441698834430496
6,contact_2,linear,0.0027426173129455095,1.0,0.0009192037237079185
71,vel y <= 0,rule,0.03610361322901862,0.7888,0.01473604964333783
57,angleVel <= 0,rule,-0.07349684714376471,0.73632,0.0323847540194544
47,vel x > 0 and angleVel <= 0,rule,-0.07654970211352234,0.71648,0.03450145344981471
59,vel x > 0 and vel y <= 0 and vel y > 0,rule,-0.1891279261042644,0.67872,0.08831669923400175
62,vel y <= 0 and vel y > 0,rule,0.0017739906019426995,0.62112,0.0008605773509602883
74,vel y <= 0,rule,-0.09034522131947571,0.59584,0.04433499645172759
45,pos y > 0 and vel x > 0 and vel y > 0,rule,-0.021053040138787147,0.56928,0.010424981687727052
50,vel y > 0,rule,-0.022915536197466856,0.55936,0.011376736157240427
76,vel y <= 0,rule,0.014469834471657683,0.544,0.007206849190945768
48,vel y > 0,rule,0.023670232305223773,0.52704,0.011817796715107102
46,pos y > 0 and vel y > 0 and angleVel > 0,rule,-0.09955481310121594,0.51552,0.04975342096414427
61,vel x > 0 and vel y <= -0.02041,rule,0.026877013325898563,0.49568,0.013438005064014573
41,vel x > 0 and vel y > 0,rule,0.012784570377384855,0.48928,0.0063908158374450675
54,vel x > 3e-05 and vel y > 0,rule,0.012689276679646835,0.45984,0.006324139635219393
72,vel y <= 0,rule,0.022729908203966906,0.44064,0.01128457856218139
77,vel y <= 0,rule,0.07737083756858959,0.43264,0.038332751187483825
67,pos y > 0.0 and vel y <= 0 and angleVel <= 0,rule,0.010341196750597009,0.42688,0.005115009999732398
66,vel y <= 0 and vel y > 0,rule,-0.00027857941071397514,0.39712,0.00013630925170843614
39,vel y > 0 and angleVel <= 0,rule,-0.027059085371167874,0.3952,0.013229013877860558
70,vel x > 0 and vel y <= 0 and vel y > 0,rule,0.09256340974405954,0.36608,0.04459072900426016
69,vel x > 0 and angleVel > 0,rule,-0.016654665817141843,0.34752,0.007930661739672636
75,pos y > 0 and vel x > 0 and vel y <= 0,rule,-0.01524096882306992,0.328,0.007155403566035295
82,vel x > 0 and angle > 0 and angleVel > 0,rule,0.05530189499543821,0.3216,0.02583098414926841
87,vel x <= 0 and vel y <= 0,rule,0.0662884678567341,0.28544,0.029937446056227123
51,vel x > 0 and vel y <= 0 and vel y > 0,rule,0.070862136822919,0.27616,0.03168224300137636
33,vel y > 0 and angleVel <= 0 and angleVel > 0,rule,-0.19696934373145553,0.27008,0.08745456464684943
37,pos y <= 0,rule,0.00577001529650155,0.26592,0.0025493188750279417
31,vel x > 0 and vel y > 0 and angleVel <= 0,rule,-0.14913651412213727,0.26368,0.06571369402713279
81,angleVel > 0,rule,0.000812924436947724,0.26368,0.0003581971057269899
40,vel x > 0 and vel y <= 0 and vel y > 0 and angle <= 0,rule,-0.2801576226251413,0.26336,0.12339711297523502
85,vel y <= 0,rule,-0.008527155312859969,0.248,0.003682467596200433
68,vel x <= 0 and angleVel <= 0,rule,-0.19548763483468426,0.22528,0.08166820209598673
27,vel y <= 0 and vel y > 0 and angle <= 0 and angleVel > 0,rule,-0.16633255832813898,0.22368,0.06931244706679199
56,pos y > 0 and vel x <= 0 and vel y > 0,rule,-0.03191507308857219,0.22112,0.013244791691819736
84,vel y <= -0.34091,rule,-0.05408032317360793,0.21888,0.022361513624460788
35,vel y > 0,rule,-0.47269835918379627,0.2112,0.19293654746051858
32,pos y > 0 and vel x > 0 and vel y > 0.0,rule,-0.10692189537377995,0.208,0.043397119802949254
25,vel x > 0 and vel y > 0,rule,-0.04550172720833787,0.20768,0.018457612720145924
60,vel x <= 0 and vel y > 0 and angleVel <= 0,rule,-0.03201912017948603,0.20288,0.012876293437287545
42,pos y <= 1 and pos y > 0 and vel x <= 0 and vel x > 0 and vel y > 0,rule,-0.12811655116480067,0.19136,0.05039743465547438
34,pos y <= 1 and pos y > 0 and vel y <= 0 and vel y > 0 and angleVel > 0,rule,-0.1581723831742213,0.1728,0.05980090963397899
55,vel x <= 0 and vel y > 0,rule,0.06697085720940153,0.168,0.025038145672362518
52,pos y > 0 and vel x <= 0 and vel x > 0 and vel y > 0,rule,-0.2027323561933939,0.16576,0.07538907967745904
38,vel x <= 0 and vel x > 0 and vel y <= 0,rule,-0.0171488675075377,0.1648,0.006362228920829168
13,vel y > 0 and angle > 0 and angleVel <= 0,rule,-0.03493021245715343,0.1632,0.012908391840134847
78,vel x > 0.21716 and vel y <= 0 and vel y > 0,rule,-0.08341287707510629,0.15552,0.030228800136655236
18,vel x > 0 and vel y > 0 and angle <= 0,rule,-0.010362937324689871,0.15168,0.0037172937761592193
43,vel y <= -5e-05 and vel y > 0 and angleVel <= 0,rule,-0.026780314727669657,0.14912,0.009539328003056152
90,pos y <= 1 and vel x <= 0 and vel y <= 0,rule,0.17971652231136787,0.1456,0.06338687090135231
86,vel x <= 0 and vel y <= 0 and vel y > 0,rule,0.0016453349364902168,0.13824,0.0005678901656226371
20,contact_2 > 0,rule,0.008375676490008092,0.12896,0.0028071554065702514
26,vel x > 0 and vel y > 0 and angle <= 0,rule,-0.2022418571082163,0.12672,0.06727758346404006
93,vel y <= -0.41687,rule,-0.05123984458185497,0.1232,0.01684082753343926
29,vel y > 0 and angleVel <= 0,rule,-0.02171455819756475,0.12288,0.007128876743675047
79,pos y <= 0 and vel x > 0 and vel y <= 0 and vel y > 0,rule,0.12149902112624086,0.11168,0.03826883150004604
23,vel y > 0 and angle <= 0 and angleVel <= 0 and angleVel > 0,rule,-0.0308057947026983,0.10848,0.009580160836984047
14,vel x > 0 and vel y > 0.0 and angleVel <= 0,rule,-0.06960557936862165,0.10496,0.02133424047583499
24,vel x > 0 and vel y > 0,rule,-0.0017981200576417963,0.10432,0.0005496407367881534
63,pos y <= 0 and vel x > 0 and angleVel > 0,rule,0.04711411328698136,0.10176,0.014244124682288287
73,vel y <= 0 and angle <= 0 and angleVel > 0,rule,-0.2094311491026192,0.09888,0.06251537186631637
17,pos y > 0 and vel x > 0.02425 and vel y > 0 and angleVel <= 0,rule,-0.09523610028364901,0.09568,0.028013879414215175
21,vel x > 0 and vel y > 0 and angleVel <= 0,rule,-0.00543929434399531,0.09568,0.0015999787412260145
36,vel y > 0.00406,rule,-0.06505513656329157,0.09408,0.018992195454100545
53,vel x > 0.17852 and vel y <= 0 and angleVel <= 0,rule,-0.18889785218265048,0.09248,0.05472415103668509
15,vel x > 0 and vel y > 0,rule,-0.2550259039205849,0.09024,0.07307137134111175
44,vel x > 0 and vel y <= 0 and vel y > 0,rule,-0.2104977056782728,0.09024,0.06031291638067824
9,pos y <= 0 and vel x > 0,rule,-0.053883472771747126,0.08928,0.015364736120166011
58,vel y > 0 and angle <= 0 and angleVel <= 0,rule,0.041747819970160305,0.088,0.01182694445669599
49,pos y > 0 and vel x > 0 and angle <= 0,rule,-0.0405756428564915,0.07712,0.010824841272278299
28,pos y <= 0 and vel y > 0 and angleVel <= 0,rule,0.10258835561685377,0.07616,0.02721196585703297
96,vel x <= 0 and vel y > 0 and angleVel > 0,rule,0.14324030122090453,0.07616,0.037995054728550616
8,vel x <= 0 and vel x > 0 and vel y > 0,rule,-0.1243004541448049,0.06624,0.030913665988465452
95,vel y <= 0 and vel y > 0.0,rule,0.19831588227112032,0.06592,0.049210540192491915
65,pos y > 0 and vel x <= 0 and vel x > 0 and vel y > 0 and angleVel <= 0,rule,0.08454394160890163,0.06336,0.0205956937928765
30,pos y <= 0 and angleVel <= 0,rule,-0.048588990902794754,0.06144,0.01166794850851384
64,vel x <= 0 and vel y > 0,rule,0.08768595044646046,0.0608,0.020953705965066488
83,vel x <= 0 and vel y > 0,rule,0.09868687029630151,0.05568,0.02262916783039641
104,vel y <= 0 and vel y > 0.0 and angleVel <= 0,rule,0.22709803199500686,0.05504,0.0517915961892051
16,vel x <= 0 and vel x > 0 and vel y > 0,rule,-0.2978549617494569,0.05408,0.06736749279392819
80,vel y <= 0 and vel y > 0 and angle <= 0,rule,0.19033913577801592,0.04992,0.04145199808227526
92,vel y > 0 and angleVel <= 0,rule,0.10314342292134103,0.04608,0.021624882292158833
97,vel x <= 0 and angleVel > 0,rule,0.25455219383430805,0.03968,0.049690190637544235
91,vel y > 0 and angleVel > 0,rule,0.1143421758954964,0.03712,0.021617054587811595
98,pos y <= 1 and pos y > 1 and vel x <= 0 and vel y <= 0,rule,0.03181179744163933,0.032,0.005598876349728522
12,vel x <= 0 and vel y > 0 and angleVel <= 0 and angleVel > 0 and contact_1 <= 0,rule,-0.34919793342148187,0.03168,0.06116087673005375
