,rule,type,coef,support,importance
1,vel x,linear,-0.2529528508330586,1.0,0.0737957619991673
3,angle,linear,0.6095066151406986,1.0,0.09684640877539785
4,angleVel,linear,-0.07788302032242951,1.0,0.007758829456492989
51,vel x > 0,rule,-0.01967875800203017,0.98272,0.002564392225214504
59,vel y <= 0,rule,0.012456287794705338,0.7888,0.005084158035654606
42,angleVel <= 0,rule,-0.013868316374532978,0.69088,0.006408975379945396
57,vel x > 0 and vel y <= 0,rule,-0.035919702427123584,0.6,0.017596988531812647
43,vel y > 0,rule,-0.03657040254678053,0.57408,0.018083394893683227
47,vel y > 0,rule,-0.0072606468122503615,0.57344,0.0035909500743401277
37,vel y > 0,rule,-0.15994989266421453,0.56736,0.079245871321047
39,vel y > 0,rule,-0.0016527977206334326,0.55936,0.0008205543796532903
64,pos y > 0 and vel x > 0,rule,-0.17432822999509093,0.54784,0.08676421864111594
36,vel x > 0 and vel y > 0,rule,-0.0088300959121445,0.53088,0.004406619758068584
52,vel y <= 0 and angleVel <= 0,rule,-0.03777698781461432,0.5088,0.018885568230788855
53,vel x > 0 and vel y <= -0.02041,rule,0.1500062232015805,0.49568,0.07500031207240347
38,vel x > 0 and vel y > 0,rule,-0.09700072623981237,0.49472,0.048497658819466105
44,vel x > 0.00021 and vel y > 0,rule,0.03884415890031743,0.4928,0.019420065664561264
50,vel x > 0 and vel y <= 0,rule,-0.12170225684399326,0.45696,0.060625262917997934
63,vel y <= 0,rule,0.0009440223820070397,0.44064,0.00046867302052530375
65,vel y <= 0,rule,2.259788932456009e-05,0.43264,1.1195940176720123e-05
77,vel y <= -0.22133,rule,0.1135139322137124,0.36544,0.05466301167773044
32,vel x > 0 and angleVel <= 0,rule,-0.057181235674025443,0.35392,0.027343193598045174
67,vel y <= 0 and angleVel > 0,rule,0.00028273626912338277,0.3312,0.00013306836451617258
68,angleVel > 0,rule,3.790862525014351e-05,0.30912,1.7518741233932066e-05
33,vel x > 0 and vel y > 0,rule,-0.0162708278768944,0.30048,0.007459633731697719
27,vel x > 0 and vel y > 0,rule,-0.11879138671024934,0.29536,0.054193155359091055
41,vel x > 0 and vel y <= 0 and vel y > 0,rule,0.07629945470817039,0.27776,0.03417409753701804
60,vel x <= 0 and vel y <= 0 and vel y > 0,rule,0.03160668653494892,0.27648,0.01413631128902182
25,pos y <= 0 and angleVel <= 0,rule,-0.016009412240633642,0.27328,0.007134488932311548
70,pos y > 0 and vel x <= 0 and vel x > 0 and vel y <= 0 and vel y > 0,rule,0.17592664280255554,0.27104,0.07819881258123745
